City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Dong Hoi,VN,78.04,overcast clouds,17.4833,106.6,Nam Long Hotel
5,Faanui,PF,80.67,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
9,Hithadhoo,MV,83.05,overcast clouds,-0.6,73.0833,Scoop Guest House
13,Rincon,US,85.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
15,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
18,Port Blair,IN,82.44,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
21,San Antonio,US,87.94,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
22,Bani,DO,76.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
24,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
25,Sabya,SA,87.42,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
30,Boyolangu,ID,75.47,overcast clouds,-8.1181,111.8935,Yos ega cv
34,Atuona,PF,78.58,few clouds,-9.8,-139.0333,Villa Enata
36,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
41,Maues,BR,78.53,moderate rain,-3.3836,-57.7186,Hotel Miramar
43,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
44,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
45,Lompoc,US,89.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
50,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
54,Salalah,OM,80.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
64,Vanimo,PG,79.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
68,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
77,Miracema Do Tocantins,BR,77.23,clear sky,-9.5618,-48.3967,Miami Apart Hotel
80,Jamestown,US,75.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
81,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
82,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
83,Portmore,JM,84.16,few clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
85,Portland,US,75.87,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
89,Presidencia Roque Saenz Pena,AR,77.4,broken clouds,-26.7852,-60.4388,Hotel Gualok
92,Diplo,PK,81.19,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
93,Mitsamiouli,KM,79.56,scattered clouds,-11.3847,43.2844,Foyer ADM
105,Awbari,LY,85.26,overcast clouds,26.5921,12.7805,فندق أوباري
107,Isangel,VU,78.91,few clouds,-19.55,169.2667,Tanna Lodge
119,Sola,VU,81.27,few clouds,-13.8833,167.55,Leumerus Bungalows
121,Kieta,PG,82.8,light rain,-6.2167,155.6333,Uruna Bay Retreat
123,Victoria,HK,79.18,scattered clouds,22.2855,114.1577,Mini Central
125,Sao Jose Da Coroa Grande,BR,76.35,moderate rain,-8.8978,-35.1478,Crôa Mares Hotel
126,Palmerston,AU,75.18,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
127,Kapaa,US,80.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
130,Makakilo City,US,80.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
131,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
132,Daru,PG,80.4,overcast clouds,-9.0763,143.2092,Daru Lodge
135,Labuhan,ID,78.4,light rain,-6.8844,112.2051,DoubleFAG
146,Trairi,BR,77.16,broken clouds,-3.2778,-39.2689,janelas do mar
147,Jibuti,DJ,85.77,broken clouds,11.5,42.5,Orchid Main Camp Goubet
149,Turbat,PK,82.74,clear sky,26.0023,63.044,Mubashar Quarters
154,Avarua,CK,82.45,clear sky,-21.2078,-159.775,Paradise Inn
158,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
160,Malakal,SS,81.97,overcast clouds,9.5334,31.6605,Nile Palace Hotel
168,Jacqueville,CI,77.63,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
171,Korla,CN,81.88,overcast clouds,41.7597,86.1469,Gulisitan Hotel
174,Dingle,PH,78.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
175,La Primavera,CO,78.51,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
176,Progreso,MX,84.72,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
178,Touros,BR,76.78,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
182,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
184,Auki,SB,81.39,few clouds,-8.7676,160.7034,Auki Motel
188,Lorengau,PG,81.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
192,Alta Floresta,BR,87.62,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
197,Morehead,US,76.78,broken clouds,37.2711,-87.1764,CCI Express Inn
199,Gosainganj,IN,83.35,clear sky,26.5833,82.3833,suraj Trunk House
200,Champerico,GT,77.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
208,Pitimbu,BR,75.79,light rain,-7.4706,-34.8086,Reserva do Abiaí
215,Samarai,PG,80.08,broken clouds,-10.6167,150.6667,Nuli Sapi
221,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
229,Isla Mujeres,MX,86.16,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
231,Sur,OM,89.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
233,Meulaboh,ID,76.51,overcast clouds,4.1363,96.1285,Kost Pria
236,Hamilton,US,83.25,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
244,Mogadishu,SO,79.2,overcast clouds,2.0371,45.3438,Hotel Juba
253,Kupang,ID,77.04,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
254,Santa Rosa,PH,82.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
261,Kavieng,PG,82.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
263,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
267,Wajir,KE,77.95,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
270,Katsina,NG,86.41,clear sky,12.9894,7.6006,Katsina Motel
275,Ca Mau,VN,81.16,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
276,Puerto Quijarro,BO,80.76,broken clouds,-17.7833,-57.7667,Hotel palance
279,Jagtial,IN,88.9,scattered clouds,18.8,78.9333,Hasini fry center
281,Murgab,TM,77.76,clear sky,37.4966,61.9714,Wepa Nurlyýew
299,Galveston,US,85.05,broken clouds,29.3669,-94.9669,Crystal Suites
301,Sorong,ID,76.23,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
302,Pratapgarh,IN,84.24,few clouds,24.0333,74.7833,Ratna Hotel
309,Tevaitoa,PF,80.69,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
315,Kilindoni,TZ,80.31,broken clouds,-7.9139,39.6668,Bustani B&B
325,Dillon,US,82.04,broken clouds,34.4166,-79.3712,Dillon Express Inn
326,Prainha,BR,78.24,broken clouds,-1.8,-53.48,Casa Rocha
331,Tautira,PF,79.52,scattered clouds,-17.7333,-149.15,Pension Oaoa
332,Puerto Madero,MX,81.75,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
335,Celestun,MX,83.77,broken clouds,20.8667,-90.4,Posada Lilia
336,Fallon,US,87.46,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
338,Wau,SS,75.56,broken clouds,7.7029,27.9953,Universal Gab Hotel
341,Arlit,NE,87.8,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
349,Axim,GH,79.11,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
351,Bathsheba,BB,79.29,overcast clouds,13.2167,-59.5167,Atlantis Hotel
352,Coacoatzintla,MX,79.74,overcast clouds,19.6333,-96.9333,Hotel Eiffel
354,Abut,PH,75.81,overcast clouds,17.3523,121.6036,Cinderella Resort
360,Iralaya,HN,80.65,overcast clouds,15.0,-83.2333,Iglesia morava renovada
362,Bubaque,GW,78.06,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
369,Kloulklubed,PW,77.36,light rain,7.0419,134.2556,Storyboard Beach Resort
378,Bandarbeyla,SO,79.5,scattered clouds,9.4942,50.8122,JABIR HOTEL
383,Bud,US,78.82,heavy intensity rain,39.447,-86.1758,Ted McQuinn Trust
392,Baswa,IN,85.01,clear sky,27.15,76.5833,Sone dairy and Bakery Baswa
395,Las Guacamayas,MX,85.28,overcast clouds,18.0167,-102.2167,DIDPROQUIM
400,Gigmoto,PH,81.21,overcast clouds,13.7796,124.39,Cj's Travellers Inn
401,Bull Savanna,JM,81.34,scattered clouds,17.8868,-77.5902,Big Red's
412,Santa Cruz,BO,78.85,light rain,-17.8,-63.1667,Aviador Hotel Boutique
413,Biak,ID,77.11,heavy intensity rain,-0.9131,122.8766,Penginapan Kim
414,Muisne,EC,77.7,broken clouds,0.6,-80.0333,Quinta Samay
419,Bodden Town,KY,87.01,overcast clouds,19.2833,-81.25,Will T Place
428,Ajdabiya,LY,83.91,clear sky,30.7554,20.2263,Almadina Hotel
431,Banda Aceh,ID,79.9,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
437,Gurupa,BR,75.02,scattered clouds,-1.405,-51.64,Hotel Vitória
439,Acajutla,SV,82.98,overcast clouds,13.5928,-89.8275,Laureles
441,Puerto Ayacucho,VE,82.45,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
447,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
448,La Vega,DO,79.29,broken clouds,19.2221,-70.5296,Hotel Rey
456,Basco,PH,83.28,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
460,Tomatlan,MX,88.7,clear sky,19.9333,-105.25,El Salvial
464,North Bend,US,79.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
465,Upata,VE,81.09,broken clouds,8.0086,-62.3989,Posada Villa Nela
468,Jacareacanga,BR,75.97,broken clouds,-6.2222,-57.7528,Casa do Ian😎
473,Codajas,BR,78.73,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
475,Hobyo,SO,79.3,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
481,Mahibadhoo,MV,82.42,overcast clouds,3.7833,72.9667,Omadhoo Inn
482,Lufilufi,WS,85.78,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
487,San Angelo,US,79.9,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
488,Hami,CN,77.81,overcast clouds,42.8,93.45,Laoyutang Resort
491,Mecca,SA,85.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
494,Snyder,US,75.09,scattered clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
502,Harpanahalli,IN,75.18,broken clouds,14.8,75.9833,Bismillah Biriyani Hotel
507,Waingapu,ID,77.54,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
516,Buraydah,SA,85.21,few clouds,26.326,43.975,Mövenpick Qassim
518,Pacific Grove,US,75.34,clear sky,36.6177,-121.9166,Lovers Point Inn
519,Moerai,PF,76.62,few clouds,-22.4333,-151.3333,Le Manotel
520,Garh Maharaja,PK,86.56,clear sky,30.8339,71.9053,Zaki Pansar Shop
524,Show Low,US,78.66,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
527,Bourail,NC,75.7,scattered clouds,-21.5667,165.4833,Motel Allamanda
528,Jiazi,CN,75.74,broken clouds,22.8779,116.067,Hotel Jin Hao
533,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
534,San Policarpo,PH,81.39,overcast clouds,12.1791,125.5072,Agapita M. Nicart
545,Bosaso,SO,83.79,clear sky,11.2842,49.1816,Red Sea Hotel
547,Tual,ID,81.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
550,Bartica,GY,77.32,moderate rain,6.4,-58.6167,Sloth Island Nature Resort
555,Sabang,ID,83.3,overcast clouds,5.8933,95.3214,Hotel Citra
556,Yanam,IN,81.01,scattered clouds,16.7333,82.2167,The Regency Hotel
558,Buala,SB,82.24,light rain,-8.145,159.5921,Maringe Lagoon Lodge
562,Boca Do Acre,BR,82.27,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
563,Catuday,PH,79.97,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
566,Luwuk,ID,78.1,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
567,Jalingo,NG,77.65,overcast clouds,8.8833,11.3667,Debright Motel
570,Tooele,US,77.32,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
576,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
578,Gatesville,US,81.36,clear sky,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
583,Eyl,SO,80.46,scattered clouds,7.9803,49.8164,Amiin Hotel
589,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
590,Kismayo,SO,79.16,few clouds,-0.3582,42.5454,Agan-Hotel
591,Palmas,BR,80.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
592,Kavaratti,IN,83.01,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
595,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
597,Sindon,PH,76.08,overcast clouds,17.0603,122.0151,SINDUN BAYABO VIEW DECK
599,Lar,IN,83.89,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
602,Macau,MO,78.85,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
608,Griffith,US,82.89,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
611,El Copey,CO,82.33,overcast clouds,10.1503,-73.9614,Copey cesar
613,Coruripe,BR,75.9,heavy intensity rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
616,San Patricio,US,87.67,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
617,Mersing,MY,75.25,overcast clouds,2.4312,103.8405,Timotel Hotel
624,Canutama,BR,80.49,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
627,Tamiahua,MX,86.41,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
630,Kalmunai,LK,78.44,overcast clouds,7.4167,81.8167,VS Villa
637,Baculin,PH,77.0,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
642,Gairatganj,IN,87.48,scattered clouds,23.4202,78.2385,new garib namz road lines
643,Ugoofaaru,MV,81.88,overcast clouds,5.6667,73.0,Ungoofaaru Inn
647,Bafq,IR,77.09,clear sky,31.6128,55.4107,Alamdar Hotel
649,Mocajuba,BR,76.86,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
651,Cabot,US,82.09,overcast clouds,34.9745,-92.0165,Super 8 by Wyndham Cabot
653,Ouro Preto Do Oeste,BR,79.95,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
654,Nabire,ID,76.57,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
656,Marrakesh,MA,75.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
657,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
661,Macherla,IN,87.98,overcast clouds,16.4833,79.4333,Vivek express
666,Sibolga,ID,76.39,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
671,Bajil,YE,85.82,clear sky,15.0584,43.2851,فندق حضرموت
673,Dhidhdhoo,MV,81.99,overcast clouds,6.8833,73.1,Dhidhoo beach
681,North Port,US,89.98,overcast clouds,27.0442,-82.2359,Americas Best Value Inn & Suites North Port
683,Kedougou,SN,86.79,overcast clouds,12.5579,-12.1743,Relais de Kédougou
690,Kuching,MY,77.22,heavy intensity rain,1.55,110.3333,Hilton Kuching
704,Nyaunglebin,MM,75.33,overcast clouds,17.95,96.7333,Thi ha
706,Gusau,NG,87.89,few clouds,12.1628,6.6614,GUEST INN
711,Zaria,NG,79.99,clear sky,11.1113,7.7227,A.B.U Hotels
